SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
TVA 8E C-1,TVA 8E C,7,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 2B C-1,TVA 2B C,7,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 3B C-1,TVA 3B C,7,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 5B C-1,TVA 5B C,7,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-1,MA,8,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-2,MA,8,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-3,MA,8,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MB-1,MB,8,#N/A,43308.70139,2018,7,27.70138889,8/27/18 16:11,2018,8,27.67430556,inc,30.97,13.7762667,30.97
MB-2,MB,8,,43308.70139,2018,7,27.70138889,8/27/18 16:13,2018,8,27.67569444,inc,30.97,13.78609674,30.97
MB-3,MB,8,,43308.70139,2018,7,27.70138889,8/27/18 16:15,2018,8,27.67708333,inc,30.98,11.45036849,30.98
SA-1,SA,8,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-2,SA,8,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-3,SA,8,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-1,SB,8,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-2,SB,8,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-3,SB,8,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du123-1,Du123,8,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du120-1,Du120,8,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 4E C-1,TVA 4E C,8,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 6E C-1,TVA 6E C,8,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 8E C-1,TVA 8E C,8,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 2B C-1,TVA 2B C,8,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 3B C-1,TVA 3B C,8,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 5B C-1,TVA 5B C,8,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-1,MA,9,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-2,MA,9,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-3,MA,9,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MB-1,MB,9,#N/A,43308.70139,2018,7,27.70138889,9/3/18 16:05,2018,9,3.670138889,inc,37.97,14.34154956,37.97
MB-2,MB,9,,43308.70139,2018,7,27.70138889,9/3/18 16:07,2018,9,3.671527778,inc,37.97,14.8537764,37.97
MB-3,MB,9,,43308.70139,2018,7,27.70138889,9/3/18 16:10,2018,9,3.673611111,inc,37.97,12.7692448,37.97
SA-1,SA,9,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-2,SA,9,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-3,SA,9,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-1,SB,9,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-2,SB,9,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-3,SB,9,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du123-1,Du123,9,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du120-1,Du120,9,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 4E C-1,TVA 4E C,9,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 6E C-1,TVA 6E C,9,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 8E C-1,TVA 8E C,9,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 2B C-1,TVA 2B C,9,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 3B C-1,TVA 3B C,9,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 5B C-1,TVA 5B C,9,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
